Education,JobInvolvement,JobLevel,DailyRate(USD),MonthlyIncome(USD),NoofCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager,TrainingTimesLastYear,PerformanceRating,Attrition
College,High,2,1102,5993,8,8,6,4,0,5,0,Excellent,Yes
Below College,Medium,2,279,5130,1,10,10,7,1,7,3,Outstanding,No
College,Medium,1,1373,2090,6,7,0,0,0,0,3,Excellent,Yes
Master,High,1,1392,2909,1,8,8,7,3,0,3,Excellent,No
Below College,High,1,591,3468,9,6,2,2,2,2,3,Excellent,No
College,High,1,1005,3068,0,8,7,7,3,6,2,Excellent,No
Bachelor,Very High,1,1324,2670,4,12,1,0,0,0,3,Outstanding,No
Below College,High,1,1358,2693,1,1,1,0,0,0,2,Outstanding,No
Bachelor,Medium,3,216,9526,0,10,9,7,1,8,2,Outstanding,No
Bachelor,High,2,1299,5237,6,17,7,7,7,7,3,Excellent,No
Bachelor,Very High,1,809,2426,0,6,5,4,0,3,5,Excellent,No
College,Medium,2,153,4193,0,10,9,5,0,8,3,Excellent,No
Below College,High,1,670,2911,1,5,5,2,4,3,1,Excellent,No
College,High,1,1346,2661,0,3,2,2,1,2,2,Excellent,No
Bachelor,Medium,1,103,2028,5,6,4,2,0,3,4,Excellent,Yes
Master,Very High,3,1389,9980,1,10,10,9,8,8,1,Excellent,No
College,Very High,1,334,3298,0,7,6,2,0,5,5,Excellent,No
College,Very High,1,1123,2935,1,1,1,0,0,0,2,Excellent,No
Master,Medium,4,1219,15427,2,31,25,8,3,7,3,Excellent,No
Bachelor,High,1,371,3944,5,6,3,2,1,2,3,Excellent,No
College,Very High,2,673,4011,0,5,4,2,1,3,5,Excellent,No
Master,Medium,1,1218,3407,7,10,5,3,0,3,4,Outstanding,Yes
Master,High,3,419,11994,0,13,12,6,2,11,4,Excellent,No
College,High,1,391,1232,1,0,0,0,0,0,6,Excellent,No
Below College,High,1,699,2960,2,8,4,2,1,3,2,Excellent,Yes
Bachelor,High,5,1282,19094,4,26,14,13,4,8,3,Excellent,No
Below College,Low,1,1125,3919,1,10,10,2,6,7,5,Outstanding,Yes
Master,High,2,691,6825,0,10,9,7,4,2,2,Excellent,No
Master,Medium,3,477,10248,3,24,22,6,5,17,4,Excellent,No
Master,High,5,705,18947,3,22,2,2,2,1,2,Excellent,No
Bachelor,High,1,924,2496,4,7,1,1,0,0,3,Excellent,No
Master,High,2,1459,6465,2,9,4,2,1,3,5,Excellent,No
College,Medium,1,125,2206,1,10,10,0,1,8,5,Excellent,No
Bachelor,High,2,895,2086,3,19,1,0,0,0,6,Excellent,Yes
Bachelor,High,1,813,2293,2,6,2,0,2,0,2,Excellent,Yes
College,Very High,1,1273,2645,1,6,5,3,1,4,3,Excellent,No
College,Medium,1,869,2683,1,3,3,2,0,2,2,Excellent,Yes
Bachelor,High,1,890,2014,1,2,2,2,2,2,3,Excellent,No
Master,Medium,1,852,3419,9,6,1,1,0,0,3,Excellent,No
Bachelor,Very High,2,1141,5376,2,10,5,3,1,3,3,Excellent,No
College,High,1,464,1951,1,1,1,0,0,0,3,Excellent,No
Master,High,1,1240,2341,1,1,1,0,0,0,6,Excellent,No
Bachelor,Low,1,1357,2293,1,1,1,0,0,1,2,Excellent,Yes
Bachelor,High,3,994,8726,1,9,9,8,1,7,0,Excellent,No
College,High,2,721,4011,1,12,12,8,3,7,2,Outstanding,No
Bachelor,High,5,1360,19545,1,23,22,15,15,8,0,Excellent,Yes
Master,High,2,1065,4568,0,10,9,5,8,7,2,Outstanding,No
College,High,1,408,3022,4,8,1,0,0,0,1,Outstanding,No
Master,High,2,1211,5772,4,14,9,6,0,8,4,Outstanding,No
Below College,Very High,1,1229,2269,1,1,1,0,0,1,2,Excellent,No
College,Medium,3,626,5381,9,23,1,0,0,0,2,Excellent,Yes
Master,High,1,1434,3441,1,2,2,2,2,2,3,Excellent,Yes
Doctor,High,2,1488,5454,5,9,4,3,1,3,2,Outstanding,No
College,Medium,3,1097,9884,2,10,4,0,2,3,3,Excellent,No
Bachelor,Medium,2,1443,4157,7,5,2,2,0,0,2,Excellent,No
College,High,3,515,13458,1,15,15,14,8,12,1,Excellent,No
Doctor,High,3,853,9069,1,9,9,8,1,8,3,Outstanding,No
Master,High,1,1142,4014,3,4,2,2,2,2,3,Excellent,No
Master,High,2,655,5915,3,10,7,7,1,7,3,Outstanding,No
Master,Medium,2,1115,5993,1,7,7,5,0,7,2,Excellent,No
Bachelor,High,2,427,6162,1,9,9,8,7,8,3,Outstanding,No
Doctor,High,2,653,2406,1,10,10,3,9,9,2,Excellent,No
College,Medium,5,989,18740,5,29,27,3,13,8,2,Excellent,No
Bachelor,High,3,1435,7637,7,28,21,16,7,9,3,Excellent,No
Bachelor,High,3,1223,10096,1,17,17,14,12,8,2,Excellent,No
Bachelor,High,4,836,14756,2,21,5,0,0,2,2,Excellent,No
Bachelor,Medium,2,1195,6499,1,6,6,5,0,3,3,Excellent,No
Bachelor,High,3,1339,9724,2,25,1,0,0,0,2,Excellent,No
Bachelor,High,1,664,2194,4,5,3,2,1,2,2,Excellent,No
Bachelor,Medium,1,318,3388,0,2,1,0,0,0,0,Excellent,Yes
Below College,Medium,2,1225,5473,7,20,4,3,1,3,2,Excellent,No
Bachelor,High,1,1328,2703,0,6,5,4,0,4,3,Outstanding,No
Master,High,1,1082,2501,1,1,1,1,1,0,4,Excellent,No
Bachelor,High,2,548,6220,1,10,10,4,0,9,3,Excellent,No
Bachelor,Very High,1,132,3038,3,5,1,0,0,0,3,Excellent,No
Master,High,2,746,4424,1,11,11,7,1,8,2,Outstanding,No
Master,Medium,2,776,4312,0,16,15,13,2,8,2,Excellent,No
Master,High,3,193,13245,4,17,0,0,0,0,3,Excellent,No
Master,High,3,397,13664,4,16,5,2,0,2,3,Excellent,No
College,High,2,945,5021,8,16,4,2,0,2,2,Outstanding,No
Below College,Medium,2,852,5126,1,10,10,8,3,0,1,Excellent,No
Bachelor,Medium,1,1214,2859,1,6,6,4,0,4,3,Excellent,No
College,High,3,111,10239,3,24,1,0,1,0,4,Excellent,No
Bachelor,Low,2,573,5329,7,17,13,11,1,9,3,Excellent,No
College,High,2,1153,4325,1,5,5,2,1,3,2,Excellent,No
Bachelor,Low,3,1400,7260,4,37,6,4,0,2,3,Excellent,No
Below College,High,1,541,2322,3,3,0,0,0,0,3,Excellent,No
Master,High,1,432,2075,3,10,4,2,0,3,4,Outstanding,No
Bachelor,Medium,2,288,4152,1,11,11,10,10,8,3,Excellent,No
College,Medium,3,669,9619,1,9,9,8,4,7,3,Excellent,Yes
Master,Medium,4,530,13503,1,22,22,3,11,11,3,Outstanding,No
Master,High,2,632,5441,0,11,10,7,1,0,2,Outstanding,No
College,Medium,2,1334,5209,1,11,11,8,2,7,4,Excellent,No
Bachelor,Medium,3,638,10673,2,21,10,9,9,5,5,Excellent,No
Master,High,2,1093,5010,1,12,11,8,5,7,0,Excellent,No
Master,High,3,1217,13549,9,16,4,3,0,3,5,Excellent,No
College,High,2,1353,4999,0,4,3,2,0,2,2,Outstanding,No
Bachelor,High,2,120,4221,1,5,5,4,0,4,3,Excellent,No
Master,High,4,682,13872,0,38,37,10,1,8,1,Excellent,No
Bachelor,High,2,489,2042,4,17,3,2,1,2,3,Excellent,No
Master,High,1,807,2073,4,7,3,2,0,2,3,Outstanding,Yes
Below College,High,1,827,2956,1,1,1,0,0,0,2,Excellent,No
Bachelor,Medium,1,871,2926,1,1,1,0,1,0,5,Excellent,Yes
Master,High,2,665,4809,1,16,16,13,2,10,3,Excellent,No
College,Medium,2,1040,5163,5,17,1,0,0,0,2,Excellent,No
Master,Medium,5,1420,18844,9,30,3,2,2,2,3,Outstanding,No
Bachelor,High,5,1115,18172,3,28,8,3,0,7,1,Excellent,No
Bachelor,Medium,2,240,5744,1,6,6,4,0,3,1,Excellent,Yes
Below College,Medium,1,1280,2889,1,2,2,2,2,1,2,Excellent,No
Bachelor,High,1,534,2871,1,1,0,0,0,0,5,Excellent,No
Master,Medium,3,1456,7484,3,23,13,12,12,8,1,Outstanding,No
Bachelor,Low,2,658,6074,1,9,9,7,0,6,3,Outstanding,Yes
Bachelor,Very High,4,142,17328,2,23,5,3,4,4,3,Excellent,No
Below College,High,1,1127,2774,0,6,5,3,1,2,2,Excellent,No
Master,Medium,2,1031,4505,6,12,1,0,0,0,3,Excellent,No
Bachelor,High,3,1189,7428,2,12,5,3,1,3,3,Excellent,No
Bachelor,Medium,3,1354,11631,2,14,11,10,5,8,6,Excellent,No
College,High,3,1467,9738,0,10,9,7,2,8,6,Excellent,No
College,High,1,922,2835,5,7,1,0,0,0,2,Outstanding,No
College,High,4,394,16959,1,25,25,12,4,12,3,Excellent,No
Bachelor,Low,1,1312,2613,1,10,10,7,0,9,2,Outstanding,No
College,High,2,750,6146,0,8,7,7,0,7,2,Excellent,No
Master,High,1,441,4963,9,7,5,4,4,3,2,Excellent,Yes
Bachelor,High,5,684,19537,7,23,20,18,15,15,5,Excellent,No
Master,Low,2,249,6172,4,12,7,7,7,7,3,Excellent,Yes
Bachelor,Medium,1,841,2368,1,5,5,4,4,3,3,Excellent,No
Master,High,3,147,10312,1,40,40,10,15,6,3,Excellent,Yes
Below College,High,1,528,1675,1,0,0,0,0,0,2,Excellent,Yes
Below College,High,1,594,2523,0,3,2,1,2,1,2,Excellent,No
Master,High,2,470,6567,1,16,15,11,5,11,2,Excellent,No
Bachelor,Very High,1,957,4739,4,18,3,2,1,2,2,Excellent,No
Bachelor,High,3,809,9208,4,16,2,2,2,1,3,Excellent,No
Bachelor,Low,2,542,4559,3,4,2,2,2,2,2,Excellent,Yes
Below College,High,3,802,8189,3,12,9,7,0,7,2,Excellent,No
Below College,High,1,1355,2942,1,8,8,7,5,7,3,Outstanding,No
College,High,2,216,4941,6,7,3,2,0,1,0,Outstanding,No
Master,Low,3,1150,10650,2,18,4,2,0,3,2,Excellent,Yes
Master,Medium,2,1329,5902,4,17,15,11,5,9,1,Excellent,No
Bachelor,Medium,2,959,8639,2,6,2,2,2,2,3,Excellent,No
Bachelor,High,2,1240,6347,0,12,11,9,4,7,2,Excellent,No
Bachelor,High,1,1033,4200,7,10,5,4,0,4,2,Outstanding,Yes
Bachelor,High,1,1316,3452,5,9,6,5,0,3,2,Excellent,No
Doctor,High,2,364,4317,3,19,3,2,2,2,2,Outstanding,No
Bachelor,High,1,438,2632,1,5,5,4,0,4,4,Excellent,No
College,Low,2,689,4668,0,9,8,7,0,7,2,Excellent,No
Bachelor,High,1,201,3204,5,8,3,2,2,2,3,Excellent,No
Below College,Medium,1,1427,2720,0,6,5,3,1,2,3,Excellent,No
Bachelor,Medium,4,857,17181,4,21,7,6,7,7,2,Excellent,No
Master,High,1,933,2238,2,7,5,0,1,4,2,Outstanding,No
Below College,High,1,1181,1483,1,1,1,0,0,0,3,Excellent,No
Bachelor,High,2,1395,5605,1,20,20,7,2,13,2,Excellent,No
Doctor,High,3,662,7295,1,10,10,8,0,6,3,Excellent,No
College,High,2,1436,2306,2,13,7,7,4,5,3,Outstanding,No
Bachelor,High,2,194,2348,8,20,17,9,0,15,2,Excellent,No
Bachelor,High,3,967,8998,1,9,9,8,3,7,2,Excellent,No
Below College,High,2,1496,4319,1,10,10,7,0,9,1,Excellent,No
Master,Medium,2,1169,6132,2,10,1,0,0,0,2,Excellent,No
Bachelor,Medium,1,1145,3346,4,9,1,0,0,0,3,Outstanding,No
Master,Medium,3,630,10855,7,15,12,11,2,11,2,Excellent,No
Master,High,1,303,2231,6,6,4,3,1,2,3,Excellent,No
Below College,High,1,1256,2323,1,2,2,2,2,2,6,Outstanding,No
Bachelor,High,1,691,2024,6,6,2,2,2,2,1,Excellent,No
Bachelor,High,1,440,2713,1,5,5,2,0,2,2,Excellent,No
College,Very High,3,334,9439,3,12,5,3,1,4,2,Excellent,No
Bachelor,Medium,1,1450,2566,1,1,1,1,0,1,2,Excellent,No
Bachelor,High,5,1452,19926,3,21,5,4,4,4,5,Excellent,No
Bachelor,High,1,465,2451,4,13,9,8,1,8,2,Excellent,No
Bachelor,High,3,1339,9419,2,12,10,9,7,4,2,Excellent,No
Master,Medium,2,702,8686,4,12,8,3,0,7,2,Outstanding,No
Doctor,High,1,120,3038,3,8,5,4,1,4,2,Outstanding,No
Bachelor,High,1,1157,3058,0,6,5,2,1,1,3,Excellent,No
Below College,Low,1,602,2325,0,1,0,0,0,0,5,Outstanding,Yes
College,High,1,1480,2088,4,13,8,7,7,2,3,Excellent,No
Bachelor,High,2,111,3072,1,12,12,9,6,10,4,Excellent,No
College,High,2,1268,5006,4,9,5,4,0,3,3,Excellent,No
Bachelor,High,1,713,4257,4,19,2,2,2,2,3,Excellent,No
Bachelor,High,1,134,2500,0,4,3,1,0,2,2,Excellent,No
Bachelor,Medium,1,303,1102,1,1,1,0,1,0,3,Outstanding,Yes
College,High,3,526,10453,1,24,24,13,15,7,2,Outstanding,No
College,High,1,1380,2288,1,2,2,2,2,1,3,Excellent,No
Below College,High,1,140,3929,8,7,4,2,0,2,0,Outstanding,No
College,High,1,629,2311,2,9,3,2,1,2,3,Excellent,No
College,High,1,1356,3140,1,4,4,3,0,2,5,Outstanding,Yes
Bachelor,Medium,1,328,3690,2,5,3,2,0,2,2,Excellent,No
College,Very High,2,1084,4450,1,5,4,2,1,3,3,Excellent,No
Bachelor,High,1,931,2756,1,8,8,7,1,6,5,Excellent,No
Below College,High,5,989,19033,1,21,20,8,9,9,2,Excellent,No
Master,Very High,5,692,18722,8,36,24,15,2,15,3,Excellent,No
Below College,Medium,2,1069,9547,1,10,10,9,1,9,2,Excellent,No
Bachelor,High,4,313,13734,3,21,7,7,1,0,6,Excellent,No
Master,Medium,5,699,19999,0,34,33,18,11,9,5,Excellent,No
Bachelor,High,1,894,2279,1,7,7,7,0,3,2,Excellent,No
College,Medium,2,556,5916,3,8,1,0,0,1,1,Excellent,Yes
Bachelor,Very High,1,1344,2089,4,7,5,4,2,2,3,Excellent,No
College,Medium,4,1195,16792,9,22,20,8,11,8,1,Outstanding,No
Bachelor,Very High,1,290,3564,1,8,8,7,1,7,3,Excellent,No
Bachelor,High,2,138,4425,5,10,6,2,1,2,5,Excellent,No
College,High,2,926,5265,2,11,5,3,0,2,5,Excellent,No
Master,High,2,1261,6553,9,14,1,0,0,0,3,Excellent,No
Bachelor,High,2,1084,6261,3,9,7,7,1,7,3,Excellent,No
Below College,Medium,2,472,4298,5,6,2,2,2,0,1,Excellent,No
Master,High,2,1002,6804,1,7,7,7,1,7,0,Excellent,No
Master,High,1,878,3815,1,5,5,3,2,0,4,Excellent,No
College,High,2,905,2741,8,15,7,2,3,7,2,Excellent,No
Below College,High,2,1180,6673,7,17,1,0,0,0,2,Excellent,Yes
Bachelor,High,3,121,7639,1,10,10,4,1,9,3,Outstanding,Yes
Bachelor,Very High,1,1136,2328,1,4,4,2,2,2,2,Excellent,No
Below College,High,1,635,2153,1,8,8,1,1,7,2,Excellent,No
Doctor,Medium,2,1151,4876,9,5,3,2,0,2,5,Excellent,No
Master,High,3,644,9396,7,17,4,2,0,3,3,Excellent,No
Master,Low,3,1045,10400,1,14,14,8,9,8,2,Excellent,Yes
Below College,Medium,3,829,8474,1,12,11,8,5,8,2,Outstanding,No
Bachelor,High,2,1242,9981,1,7,7,7,0,7,2,Excellent,No
Master,Medium,3,1469,12490,5,16,10,9,4,7,5,Excellent,No
Bachelor,High,1,1005,2657,5,8,5,2,0,4,5,Excellent,Yes
Bachelor,High,3,896,13591,3,16,1,0,0,0,3,Excellent,No
Master,Medium,2,334,6696,5,9,6,3,0,1,5,Excellent,Yes
Bachelor,High,1,992,2058,0,7,6,2,1,5,1,Excellent,Yes
Bachelor,Medium,3,1052,8865,6,23,19,7,12,8,2,Excellent,No
Bachelor,High,2,1147,5940,2,16,6,2,0,5,4,Excellent,No
College,High,2,1396,5914,8,16,13,11,3,7,3,Excellent,No
Master,Medium,1,147,2622,6,7,3,2,1,1,3,Outstanding,No
Bachelor,High,3,663,12185,1,10,10,8,0,7,1,Excellent,No
Bachelor,High,3,119,10609,0,17,16,10,5,13,6,Excellent,No
Master,Low,2,979,4345,0,6,5,4,1,4,2,Excellent,No
Bachelor,Medium,1,142,2177,3,7,1,0,0,0,6,Excellent,No
Master,High,1,319,2793,4,13,9,8,5,8,2,Excellent,No
Below College,High,3,1413,7918,1,11,11,10,4,1,5,Excellent,No
Bachelor,High,3,944,8789,1,10,10,7,0,8,3,Excellent,No
Below College,Medium,1,896,2389,1,4,4,3,0,1,3,Excellent,Yes
Bachelor,Medium,1,1323,3212,7,6,2,2,2,2,3,Excellent,No
College,High,5,532,19232,1,22,22,17,11,15,3,Excellent,No
College,High,1,818,2267,8,7,2,2,2,2,2,Excellent,No
Master,High,5,854,19517,3,32,7,0,0,6,3,Excellent,No
Bachelor,High,1,813,2436,5,8,5,4,0,4,2,Excellent,Yes
Bachelor,High,4,1034,16064,5,22,17,13,1,9,3,Outstanding,No
College,High,1,465,2707,7,13,9,7,1,7,3,Outstanding,Yes
Master,Medium,5,771,19068,1,33,33,7,15,12,2,Excellent,No
College,High,1,1401,3931,2,6,4,3,1,2,5,Excellent,No
Bachelor,Medium,1,515,3730,0,4,3,2,1,2,2,Excellent,Yes
Master,High,1,1431,2232,7,7,3,2,1,2,1,Excellent,No
Master,High,2,976,4465,0,4,3,2,2,2,2,Excellent,No
College,High,2,1411,3072,2,17,1,0,0,0,2,Excellent,No
College,High,2,1300,3319,1,9,9,8,4,7,3,Excellent,No
Bachelor,Very High,5,252,19202,0,25,24,0,1,7,2,Excellent,No
Master,High,3,1327,13675,9,9,2,2,2,2,3,Excellent,No
Master,Medium,1,832,2911,1,2,2,2,0,2,2,Excellent,No
Master,Medium,2,470,5957,6,13,11,9,5,9,3,Excellent,No
College,Medium,1,1017,3920,2,17,3,1,0,2,2,Excellent,No
Master,Very High,2,1199,6434,4,9,3,2,0,2,1,Excellent,No
Bachelor,High,3,504,10048,6,17,1,0,0,0,5,Excellent,Yes
Master,High,3,505,10938,0,20,19,6,11,8,1,Outstanding,No
Bachelor,High,1,665,2340,1,6,6,5,1,5,1,Excellent,No
College,Very High,2,916,6545,3,10,3,2,0,2,1,Excellent,No
College,High,2,1247,6931,2,10,3,2,0,2,2,Excellent,No
Bachelor,High,2,685,4898,0,5,4,2,1,2,3,Excellent,No
Bachelor,Medium,1,269,2593,0,10,9,6,7,8,4,Excellent,No
College,High,5,1416,19436,0,22,21,7,3,9,5,Excellent,No
Bachelor,High,1,833,2723,1,1,1,0,0,0,0,Excellent,No
College,Medium,1,307,3479,0,6,5,4,1,4,2,Excellent,Yes
Bachelor,Very High,1,1311,2794,1,5,5,1,0,3,3,Outstanding,No
College,Medium,2,1327,5249,3,13,8,7,7,5,0,Excellent,No
Below College,Medium,2,128,2176,4,9,6,2,0,4,5,Excellent,No
Bachelor,Low,4,488,16872,3,28,7,7,7,7,2,Excellent,No
Master,High,1,529,3485,2,5,0,0,0,0,5,Excellent,Yes
Bachelor,Medium,2,1210,6644,2,10,0,0,0,0,2,Excellent,No
Bachelor,Medium,2,1463,5582,0,10,9,0,7,8,2,Outstanding,No
College,Very High,2,675,4000,1,6,6,3,1,5,2,Excellent,No
College,High,4,1385,13496,0,21,20,7,4,10,2,Excellent,No
Bachelor,High,1,1403,3210,0,16,15,13,10,11,4,Excellent,No
Bachelor,High,5,452,19045,0,37,36,10,4,13,2,Excellent,No
Master,High,3,666,11849,1,10,10,7,9,9,2,Excellent,Yes
Bachelor,High,1,1158,2070,1,5,5,2,0,4,3,Outstanding,No
Master,High,2,228,6502,4,7,5,4,0,1,5,Excellent,No
College,Medium,1,996,3230,1,3,3,2,1,0,4,Excellent,No
Master,High,3,728,13603,2,15,5,2,0,2,2,Excellent,No
Bachelor,Very High,3,1315,11996,7,10,7,7,6,2,6,Excellent,No
College,Very High,2,322,5605,1,8,8,0,7,7,3,Outstanding,No
Bachelor,High,2,1479,6397,1,6,6,5,1,4,6,Outstanding,No
Below College,High,5,797,19144,3,28,10,4,1,6,4,Excellent,No
Master,High,4,1070,17584,3,21,5,3,1,3,5,Excellent,No
Below College,High,2,635,4907,1,20,20,16,11,6,3,Outstanding,No
College,High,2,442,4554,1,10,10,7,0,9,3,Excellent,No
College,High,2,147,5415,3,12,10,7,0,8,4,Excellent,No
College,High,2,496,4741,1,5,5,3,3,3,3,Excellent,No
Bachelor,High,1,1372,2115,1,17,17,12,5,7,3,Excellent,No
Bachelor,High,1,920,3161,3,19,1,0,0,0,0,Outstanding,Yes
Master,High,2,688,5745,9,10,2,2,1,2,2,Excellent,No
Master,High,1,1449,2373,2,5,3,2,0,2,2,Excellent,Yes
College,High,1,1117,3310,1,5,5,3,0,2,3,Outstanding,No
Master,High,5,636,18665,9,22,3,2,1,2,4,Excellent,No
Bachelor,High,2,506,4485,4,10,8,0,7,7,2,Excellent,No
Bachelor,High,1,444,2789,1,2,2,2,2,2,5,Excellent,No
Master,Medium,2,950,5828,1,8,8,7,7,4,0,Excellent,Yes
Bachelor,High,1,889,2326,1,4,4,2,1,2,3,Excellent,No
Bachelor,High,4,555,13525,5,23,20,4,4,8,2,Excellent,No
Bachelor,High,1,230,1420,1,0,0,0,0,0,2,Excellent,Yes
Bachelor,High,3,1232,8020,0,12,11,9,6,9,3,Excellent,No
Master,Very High,1,566,3688,4,4,1,0,0,0,2,Excellent,No
Bachelor,Low,2,1302,5482,5,13,4,1,1,2,3,Excellent,No
Master,High,4,334,16015,1,22,22,10,0,4,2,Excellent,No
Bachelor,Medium,1,812,1200,1,0,0,0,0,0,2,Excellent,No
College,Very High,2,1476,5661,0,9,8,3,0,7,2,Excellent,No
Bachelor,Very High,2,218,6929,4,10,8,7,7,7,3,Excellent,No
Bachelor,Very High,3,1132,9613,0,19,18,10,3,7,5,Excellent,No
Master,High,2,1105,5674,7,11,9,8,0,8,3,Excellent,No
Bachelor,Medium,2,906,5484,1,13,13,8,4,8,3,Excellent,No
College,Medium,3,849,12061,3,19,10,8,0,1,2,Excellent,No
Master,Low,2,390,5660,2,12,5,3,1,2,2,Excellent,No
Master,High,1,691,4821,0,6,5,2,0,3,4,Excellent,No
Bachelor,Medium,2,106,6410,3,9,2,2,1,0,1,Excellent,No
Bachelor,High,3,1249,5210,1,24,24,9,9,11,2,Excellent,No
Master,High,1,192,2695,0,3,2,2,2,2,2,Excellent,No
Master,High,3,553,11878,6,12,10,6,8,8,2,Excellent,No
Below College,High,4,117,17068,1,21,21,9,11,10,3,Excellent,No
Master,High,1,185,2455,0,9,8,7,1,7,5,Excellent,No
College,Medium,4,1091,13964,7,25,7,1,0,7,2,Excellent,No
Master,Medium,2,723,4941,2,11,8,2,7,7,3,Excellent,Yes
Bachelor,High,1,1220,2478,1,4,4,3,1,2,2,Excellent,No
College,Medium,2,588,5228,1,13,13,12,11,9,2,Excellent,No
Bachelor,High,2,1377,4478,1,5,5,4,0,4,3,Excellent,No
Bachelor,High,2,691,7547,4,13,7,7,1,7,3,Excellent,No
Master,Very High,2,1018,5055,7,10,7,7,0,7,0,Excellent,No
Master,Low,1,1157,3464,5,5,3,2,2,2,4,Excellent,Yes
College,High,2,1275,5775,1,11,10,8,1,9,2,Excellent,No
College,Medium,3,798,8943,1,10,10,9,8,9,2,Outstanding,No
College,Medium,5,672,19272,1,21,21,9,13,3,2,Excellent,No
College,High,2,1162,5238,4,12,1,0,0,0,3,Excellent,Yes
Bachelor,Medium,2,508,4682,3,9,7,7,0,1,6,Excellent,No
Doctor,High,5,1482,18300,4,21,3,2,1,1,2,Excellent,No
Master,Medium,2,559,5257,1,9,9,7,0,0,3,Excellent,No
Below College,High,2,210,6349,0,6,5,4,1,4,0,Excellent,No
Master,High,2,928,4869,3,20,4,3,0,3,4,Excellent,No
Bachelor,High,3,1001,9985,8,10,1,0,0,0,1,Excellent,No
Master,High,2,549,3697,9,12,10,9,9,8,3,Excellent,No
College,Low,2,1124,7457,2,6,4,3,0,2,2,Outstanding,No
Master,Low,1,318,2119,1,7,7,7,0,7,4,Excellent,Yes
Doctor,Medium,1,738,3983,0,4,3,2,2,2,2,Excellent,No
Bachelor,Medium,2,570,6118,1,10,10,9,1,2,2,Excellent,No
Master,High,2,1130,6214,1,8,8,7,0,7,3,Excellent,No
College,High,2,1192,6347,7,8,6,2,0,4,2,Excellent,No
College,Medium,3,343,11510,0,12,11,10,2,9,3,Excellent,No
Master,High,3,1232,7143,1,11,11,9,4,10,2,Excellent,No
Below College,Medium,2,144,8268,1,7,7,7,1,7,2,Excellent,No
Master,High,3,1296,8095,0,17,16,6,0,13,5,Excellent,No
Below College,High,1,1309,2904,1,4,4,2,0,2,2,Excellent,No
Bachelor,Medium,2,483,6032,6,8,5,4,1,2,3,Excellent,No
Below College,High,2,1309,2976,3,5,0,0,0,0,3,Excellent,No
Doctor,High,4,810,15992,2,16,1,0,0,0,2,Excellent,No
Bachelor,High,2,746,4649,1,4,4,3,0,2,3,Excellent,No
Below College,High,1,544,2696,0,4,3,2,1,0,5,Excellent,No
Bachelor,High,1,1062,2370,1,8,8,0,0,7,4,Excellent,No
Below College,High,3,530,12504,3,15,0,0,0,0,3,Outstanding,No
Bachelor,Very High,2,1319,5974,4,13,7,7,6,7,2,Excellent,No
College,High,2,641,4736,7,4,2,2,2,2,2,Excellent,No
Bachelor,High,2,933,5296,1,8,8,7,7,7,3,Excellent,No
Master,Medium,2,1332,6781,3,14,1,0,0,0,6,Outstanding,No
Below College,Medium,1,756,2174,1,3,3,2,1,2,3,Excellent,Yes
Doctor,High,2,845,6653,4,7,1,0,0,0,6,Excellent,No
Master,Medium,3,541,9699,4,16,13,9,1,12,2,Excellent,No
Master,High,2,593,6755,2,15,3,2,1,2,2,Excellent,No
Master,Very High,1,1171,2213,3,10,7,7,1,7,3,Excellent,No
College,High,1,895,2610,1,3,3,2,2,2,3,Outstanding,No
