Education,JobInvolvement,JobLevel,DailyRate(USD),MonthlyIncome(USD),NoofCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager,TrainingTimesLastYear,PerformanceRating,Attrition
Bachelor,Medium,1,1097,2600,1,1,1,0,0,0,2,Excellent,Yes
Bachelor,High,1,109,2422,0,4,3,2,1,2,3,Excellent,Yes
College,Very High,2,1066,5472,1,8,8,7,1,3,2,Excellent,No
Below College,Low,1,217,2451,1,4,4,3,1,1,3,Excellent,No
Bachelor,Medium,2,277,4240,2,19,2,2,2,2,0,Excellent,No
Master,Medium,3,1355,10999,7,27,15,11,4,8,3,Excellent,No
College,High,2,549,5003,6,8,2,2,2,1,6,Excellent,No
Below College,Medium,4,466,12742,1,21,21,6,11,8,3,Excellent,No
Master,High,2,1055,4227,0,4,3,2,2,2,2,Excellent,No
Bachelor,High,1,802,3917,1,3,3,2,1,2,4,Outstanding,No
College,High,5,265,18303,6,21,1,0,0,0,3,Excellent,No
Bachelor,High,1,804,2380,4,8,1,0,0,0,5,Excellent,No
Bachelor,Medium,4,715,13726,3,30,5,3,4,3,4,Excellent,No
College,Low,2,1141,4777,5,15,1,0,0,0,2,Excellent,Yes
Master,High,2,135,6385,3,17,8,7,6,7,3,Excellent,No
Below College,Low,5,247,19973,1,21,21,16,5,10,3,Outstanding,No
Master,High,2,1035,6861,8,19,1,0,0,0,1,Excellent,No
College,Low,2,265,4969,8,7,2,2,2,2,6,Excellent,Yes
Below College,Low,5,266,19845,1,33,32,14,6,9,3,Excellent,Yes
Bachelor,Very High,4,1448,13320,3,23,12,11,11,11,2,Excellent,No
Bachelor,High,2,145,6347,0,19,18,7,0,13,3,Excellent,No
Master,Very High,1,885,2743,1,18,17,13,15,14,1,Excellent,Yes
Bachelor,High,3,945,10880,1,21,21,6,2,8,2,Excellent,No
Below College,Medium,1,1038,2342,0,3,2,2,2,2,2,Excellent,No
College,High,4,1234,17650,3,26,9,3,1,1,4,Excellent,No
Master,High,1,1109,4025,9,10,8,7,7,7,2,Excellent,No
Master,Very High,2,216,9725,0,16,15,1,0,9,2,Excellent,No
College,High,3,1089,11904,3,14,6,4,0,4,1,Excellent,No
Master,High,1,788,2177,1,6,6,3,0,4,3,Excellent,No
Bachelor,Medium,3,124,7525,2,30,15,7,6,12,2,Excellent,No
Bachelor,High,2,660,4834,7,9,1,0,0,0,3,Excellent,Yes
Bachelor,High,1,342,2042,6,6,3,2,1,2,2,Excellent,Yes
Master,High,1,1333,2220,1,1,1,1,0,0,2,Excellent,No
Below College,High,1,1144,1052,1,1,1,0,0,0,5,Outstanding,No
Master,High,1,1186,2821,3,8,2,2,2,2,2,Excellent,No
Master,High,5,1464,19237,2,29,8,1,7,7,2,Excellent,No
Bachelor,High,2,124,4107,3,8,4,3,0,1,3,Excellent,No
Bachelor,High,2,300,8396,1,8,7,7,7,5,3,Excellent,No
Below College,Medium,1,921,2007,1,5,5,3,1,3,5,Excellent,No
Master,High,5,430,19627,9,23,2,2,2,2,0,Excellent,No
Master,Medium,3,1082,10686,6,13,9,4,7,0,4,Excellent,No
Bachelor,High,1,1240,2942,2,18,5,4,0,3,4,Excellent,No
Doctor,Medium,3,796,8858,0,15,14,8,7,8,2,Excellent,No
Below College,Medium,4,444,16756,7,31,9,7,6,2,3,Excellent,No
Bachelor,Medium,3,415,10798,5,18,1,0,0,0,5,Excellent,No
Bachelor,High,1,769,2323,1,2,2,2,0,2,3,Excellent,Yes
Bachelor,Medium,1,1334,1416,1,1,1,0,1,0,6,Excellent,Yes
Master,Medium,2,1003,4615,8,19,16,13,1,7,2,Outstanding,No
Master,High,1,1323,2461,9,18,10,0,2,7,2,Excellent,Yes
College,Medium,3,1366,8722,1,10,10,7,1,9,2,Excellent,Yes
College,Medium,1,192,3955,1,6,5,3,1,3,2,Excellent,No
Bachelor,High,2,1176,9957,0,7,6,2,0,2,1,Excellent,No
College,Very High,1,509,3376,1,10,10,6,0,8,3,Excellent,No
Below College,Medium,3,330,8823,0,20,19,9,1,9,4,Excellent,No
Master,High,3,1492,10322,4,14,11,10,11,1,6,Outstanding,No
Doctor,Low,1,1277,4621,1,3,3,2,1,2,4,Excellent,No
Below College,High,3,1091,10976,3,23,3,2,1,2,4,Excellent,No
Bachelor,High,2,857,3660,3,10,8,7,1,7,4,Excellent,No
College,Medium,3,1376,10482,9,24,20,6,3,6,1,Excellent,Yes
Bachelor,Medium,3,654,7119,4,9,3,2,1,2,2,Excellent,No
Bachelor,High,3,1204,9582,0,9,8,7,4,7,2,Outstanding,Yes
Master,Medium,2,827,4508,1,14,13,7,3,8,4,Outstanding,Yes
College,High,1,895,2207,1,4,4,2,2,2,5,Excellent,No
Below College,High,2,618,7756,0,7,6,2,0,4,1,Excellent,No
Master,Medium,2,309,6694,2,8,1,0,0,0,5,Excellent,No
Below College,High,1,1219,3691,1,7,7,7,5,6,3,Excellent,Yes
Bachelor,High,1,1330,2377,1,1,1,1,0,0,0,Outstanding,Yes
Bachelor,Medium,1,1017,2313,4,5,2,2,2,2,0,Outstanding,Yes
College,High,4,469,17665,0,23,22,6,13,7,3,Excellent,No
Bachelor,Medium,1,1009,2596,1,1,1,0,0,0,2,Excellent,Yes
Master,High,2,959,4728,3,5,0,0,0,0,4,Excellent,Yes
Bachelor,High,2,970,4302,0,4,3,2,0,2,3,Excellent,No
Master,Medium,1,697,2979,3,6,0,0,0,0,2,Excellent,No
Master,Very High,4,1262,16885,2,27,5,4,2,1,3,Outstanding,No
Master,Medium,2,1050,5593,1,15,15,10,4,12,2,Excellent,No
Master,High,3,994,10445,7,18,8,6,4,0,4,Excellent,No
Master,Medium,3,770,8740,0,9,8,7,2,7,2,Excellent,No
Master,High,1,1107,2514,4,11,7,5,1,7,1,Outstanding,No
Bachelor,High,3,950,7655,0,10,9,7,1,7,3,Excellent,No
Below College,High,4,406,17465,3,23,12,9,4,9,3,Excellent,No
College,High,3,130,7351,7,10,1,0,0,0,2,Excellent,No
Bachelor,High,3,1082,10820,8,18,8,7,0,1,1,Excellent,No
Bachelor,High,4,203,12169,7,21,18,7,11,5,4,Excellent,Yes
Bachelor,Medium,5,1308,19626,1,21,20,7,4,9,2,Excellent,No
Below College,Medium,1,984,2070,1,2,2,2,2,2,6,Excellent,No
Bachelor,High,2,439,6782,9,9,5,4,0,3,2,Excellent,No
Master,High,2,217,7779,2,18,11,9,0,9,0,Outstanding,No
Bachelor,Very High,1,793,2791,0,3,2,2,2,2,4,Excellent,No
Below College,Medium,1,1451,3201,0,6,5,3,0,4,2,Excellent,No
College,High,2,1182,4968,1,5,5,2,0,2,3,Excellent,No
Master,Medium,4,174,13120,6,22,9,8,2,3,3,Excellent,No
College,High,2,1003,4033,2,5,3,2,0,2,3,Excellent,No
Bachelor,High,1,490,3291,0,8,7,5,1,1,2,Excellent,No
Bachelor,Low,2,188,4272,4,16,1,0,0,0,3,Excellent,No
Below College,Medium,2,718,5056,1,10,10,7,1,2,2,Excellent,No
Bachelor,Very High,1,433,2844,1,7,7,6,5,0,2,Excellent,No
Bachelor,Medium,1,773,2703,1,3,3,1,0,2,2,Excellent,No
Below College,High,1,247,1904,1,0,0,0,0,0,0,Excellent,Yes
Master,High,2,603,8224,0,6,5,2,0,3,3,Excellent,Yes
Master,High,1,167,4766,3,6,1,0,0,0,4,Excellent,No
Bachelor,High,1,874,2610,1,2,2,2,2,2,5,Excellent,Yes
College,Medium,2,367,5731,7,9,6,2,1,3,2,Excellent,No
Bachelor,Medium,1,199,2539,1,4,4,2,2,2,0,Excellent,No
Below College,High,2,1400,5714,1,6,6,5,1,3,3,Outstanding,No
Master,High,1,528,4323,1,6,5,4,1,4,2,Excellent,No
Below College,Medium,3,408,7336,1,11,11,8,3,10,3,Excellent,Yes
Master,High,3,593,13499,9,20,18,7,2,13,3,Excellent,No
Bachelor,High,4,481,13758,0,22,21,9,13,14,2,Excellent,Yes
Master,High,2,647,5155,7,9,6,4,1,5,3,Excellent,No
Master,Medium,1,982,2258,6,10,8,0,1,7,2,Excellent,No
Bachelor,High,1,477,3597,8,6,4,3,1,2,2,Outstanding,No
Below College,High,1,1485,2515,1,1,1,1,0,0,4,Excellent,Yes
Master,Very High,1,1384,4420,1,8,8,7,0,7,2,Outstanding,No
Bachelor,Medium,2,852,6578,1,10,10,3,1,4,3,Excellent,No
College,Medium,2,902,4422,3,16,1,1,0,0,3,Excellent,No
Bachelor,Medium,3,819,10274,2,15,7,7,6,4,2,Excellent,No
Bachelor,Medium,2,669,5343,0,14,13,9,4,9,3,Outstanding,No
Master,Medium,1,636,2376,1,2,2,2,2,2,2,Excellent,No
Bachelor,Low,2,1372,5346,8,7,4,3,1,3,2,Excellent,Yes
Below College,High,1,862,2827,1,1,1,0,0,0,3,Excellent,No
Master,High,5,718,19943,4,28,5,2,4,2,2,Excellent,No
Below College,High,1,1401,3131,1,10,10,8,0,8,5,Excellent,No
College,High,1,645,2552,1,1,1,1,0,0,4,Outstanding,No
Bachelor,High,1,1457,4477,4,7,3,2,0,2,2,Excellent,No
Bachelor,Medium,2,977,6474,1,14,14,8,3,11,2,Excellent,No
Bachelor,Medium,1,805,3033,1,2,2,2,1,2,2,Excellent,No
Master,High,1,1097,2936,1,6,6,4,0,2,4,Excellent,Yes
College,High,5,1223,18606,3,26,7,7,4,7,6,Excellent,No
Below College,Low,1,942,2168,0,6,5,4,1,3,2,Excellent,No
Master,Medium,1,1256,2853,0,1,0,0,0,0,5,Excellent,Yes
Bachelor,High,4,1402,17048,8,28,26,15,15,9,2,Outstanding,No
Bachelor,Low,1,111,2290,2,6,0,0,0,0,3,Excellent,No
Bachelor,High,1,147,3600,1,5,5,4,1,4,2,Excellent,No
College,Medium,1,906,2107,6,5,1,0,0,0,2,Excellent,Yes
Master,High,2,1329,4115,8,8,4,3,0,3,3,Excellent,No
Master,High,2,1184,4327,5,5,0,0,0,0,2,Excellent,No
Bachelor,High,4,1421,17856,2,32,2,2,2,2,3,Outstanding,No
Master,Medium,1,1179,3196,1,6,6,5,3,3,2,Excellent,No
College,High,5,1450,19081,5,25,4,2,0,3,2,Excellent,No
Master,High,2,1361,8966,3,15,7,7,1,7,2,Excellent,No
College,High,1,984,2210,1,1,1,0,0,0,3,Excellent,Yes
Bachelor,High,2,1146,4539,1,10,10,7,0,1,3,Excellent,No
Master,Low,1,917,2741,1,7,7,7,1,7,4,Excellent,No
Master,High,2,853,3491,1,10,10,7,8,9,4,Excellent,No
Master,High,2,200,4541,1,20,20,11,13,17,3,Outstanding,No
Bachelor,Very High,1,654,2678,1,2,2,1,2,2,2,Excellent,No
Master,High,2,150,7379,2,12,6,3,1,4,3,Excellent,No
Doctor,Very High,2,179,6272,7,10,4,3,0,3,3,Excellent,No
Master,Very High,2,696,5220,0,12,11,7,1,9,3,Excellent,No
Bachelor,Medium,1,116,2743,1,2,2,2,2,2,2,Outstanding,No
College,High,2,1316,4998,4,10,8,7,0,7,2,Excellent,No
Bachelor,Low,3,363,10252,2,17,7,7,7,7,2,Outstanding,No
Bachelor,High,1,117,2781,0,15,14,10,4,10,5,Excellent,No
Bachelor,Medium,2,107,6852,7,7,5,1,1,3,2,Excellent,No
Master,High,2,1356,4950,0,5,4,3,1,1,4,Excellent,No
Bachelor,High,1,1465,3579,0,12,11,9,5,7,2,Outstanding,No
Doctor,High,3,458,13191,3,20,1,0,0,0,6,Excellent,No
College,Medium,3,1212,10377,4,16,13,2,4,12,6,Excellent,No
Bachelor,High,1,1103,2235,1,9,9,7,6,8,3,Excellent,No
Master,High,3,966,10502,7,33,5,4,1,4,2,Excellent,No
Below College,Very High,1,1117,2011,1,10,10,5,7,7,5,Excellent,No
Bachelor,Medium,1,504,1859,1,1,1,1,0,0,2,Outstanding,Yes
Bachelor,High,1,1010,3760,1,3,3,2,1,2,5,Excellent,No
Bachelor,High,4,685,17779,3,36,10,9,0,9,2,Excellent,No
College,High,2,1332,6833,1,6,6,5,0,1,2,Excellent,No
Bachelor,Medium,2,1062,6812,1,10,10,9,1,8,2,Excellent,No
Bachelor,Medium,2,326,5171,5,13,6,1,0,5,2,Excellent,No
Bachelor,Low,5,920,19740,3,25,8,7,0,7,2,Excellent,No
College,Medium,5,1098,18711,2,23,1,0,0,0,2,Excellent,No
Bachelor,High,1,469,3692,1,12,11,10,0,7,2,Excellent,No
College,Very High,1,969,2559,5,7,1,0,0,0,4,Excellent,No
College,High,1,1167,2517,1,5,5,3,0,3,2,Excellent,No
Bachelor,High,2,1329,6623,1,6,6,0,1,0,2,Excellent,No
Bachelor,Medium,5,715,18265,6,25,1,0,0,0,3,Excellent,No
Bachelor,Medium,4,694,16124,3,9,7,7,1,7,2,Excellent,No
Bachelor,Very High,1,1320,2585,0,2,1,0,0,0,5,Excellent,No
Bachelor,High,5,1099,18213,7,26,22,9,3,10,5,Excellent,No
Doctor,Very High,3,536,8380,0,10,9,8,0,8,3,Excellent,No
Bachelor,Very High,1,265,2994,1,1,1,0,0,1,2,Excellent,No
College,High,1,373,1223,1,1,1,0,0,1,2,Outstanding,No
Below College,Low,1,599,1118,1,1,1,0,1,0,4,Excellent,Yes
College,High,1,583,2875,1,8,8,5,2,2,2,Outstanding,No
Bachelor,Low,5,1449,18824,2,26,24,10,1,11,2,Excellent,Yes
Below College,Medium,4,177,13577,1,34,33,9,15,0,3,Excellent,No
College,Medium,1,251,2625,1,2,2,2,2,2,2,Outstanding,Yes
College,Medium,5,168,18789,2,26,11,4,0,8,2,Excellent,No
Bachelor,High,2,131,4538,0,4,3,2,0,2,3,Excellent,No
Bachelor,High,5,237,19847,4,31,29,10,11,10,5,Outstanding,No
Master,High,3,1429,10512,6,25,9,7,5,4,6,Excellent,No
Bachelor,High,2,135,4444,4,15,11,8,5,10,2,Excellent,No
Master,High,1,791,2154,0,5,4,2,0,2,2,Excellent,No
College,Very High,5,1199,19190,1,26,25,9,14,13,4,Excellent,No
Bachelor,Medium,2,648,4490,4,14,10,9,1,8,5,Excellent,No
Below College,High,1,735,3506,0,4,3,2,2,2,3,Excellent,No
Master,Very High,2,603,2372,6,18,1,0,0,0,2,Excellent,No
Master,Medium,3,531,10231,3,23,21,7,15,17,3,Excellent,No
Master,High,2,429,5410,9,18,16,14,5,12,2,Excellent,No
Bachelor,High,3,621,7978,1,10,10,7,0,5,2,Excellent,Yes
Bachelor,Medium,1,193,3867,1,2,2,2,2,2,2,Excellent,No
College,Medium,1,968,2838,0,8,7,0,7,7,6,Excellent,No
College,High,2,879,4695,7,10,8,4,1,7,3,Excellent,No
Bachelor,High,1,806,3339,3,10,7,7,7,7,2,Excellent,Yes
Bachelor,High,1,640,2080,2,5,3,2,1,2,2,Excellent,No
Bachelor,High,1,266,2096,1,2,2,2,2,1,3,Excellent,No
Bachelor,Very High,2,604,6209,1,10,10,7,0,8,4,Excellent,No
Bachelor,High,5,364,18061,3,22,0,0,0,0,4,Outstanding,No
Master,Medium,4,412,17123,6,21,19,9,15,2,4,Excellent,No
Master,High,1,848,2372,1,2,2,2,2,2,3,Excellent,No
College,High,2,1089,4883,1,10,10,4,1,1,3,Excellent,Yes
Bachelor,High,1,360,3904,0,6,5,2,0,3,2,Excellent,Yes
Bachelor,Medium,2,1138,4627,0,10,9,2,6,7,6,Excellent,No
Master,High,3,325,7094,3,10,7,7,1,7,0,Excellent,No
College,High,1,991,3423,6,10,7,6,5,7,3,Excellent,No
Bachelor,Low,2,1476,6674,0,10,9,8,7,5,6,Excellent,No
Bachelor,High,4,1322,16880,4,25,3,2,1,2,2,Excellent,No
Master,Medium,3,299,9094,2,9,5,4,1,0,2,Excellent,Yes
Bachelor,High,3,1030,8446,9,10,8,7,7,7,2,Excellent,Yes
Master,High,3,634,11916,1,9,9,1,0,8,2,Outstanding,No
College,High,2,524,4534,0,9,8,7,1,7,6,Excellent,No
Master,High,3,587,9852,1,10,10,8,9,6,5,Excellent,No
College,Low,2,256,6151,1,19,19,2,11,9,4,Excellent,No
Bachelor,High,1,1060,2302,1,3,3,2,2,2,2,Excellent,Yes
Bachelor,High,1,935,2362,4,10,3,2,1,2,4,Excellent,Yes
Below College,High,4,495,17861,0,21,20,8,2,10,3,Excellent,No
College,Low,5,282,19187,4,23,19,9,9,11,5,Excellent,No
Master,High,5,206,19717,6,36,7,3,7,7,4,Excellent,No
College,High,1,458,3544,9,6,4,2,0,0,0,Excellent,No
Bachelor,High,3,943,8500,0,10,9,7,1,6,0,Excellent,No
Bachelor,High,2,523,4661,1,9,9,8,8,8,4,Excellent,No
Bachelor,High,2,1018,4103,0,10,9,3,1,7,2,Excellent,No
Master,High,2,482,4249,1,9,9,6,1,1,3,Excellent,No
Bachelor,High,4,770,14026,1,33,33,9,0,10,2,Excellent,No
College,High,2,1009,6893,3,11,7,7,1,7,3,Excellent,No
College,High,2,507,6125,1,10,10,8,9,6,6,Excellent,No
Below College,High,1,882,3669,3,7,3,2,1,2,6,Excellent,No
Master,Medium,3,601,10008,7,31,10,9,5,9,0,Excellent,Yes
Master,High,1,329,2387,3,7,4,2,0,3,3,Outstanding,No
Bachelor,Very High,2,607,4639,2,17,15,7,6,13,2,Excellent,No
Bachelor,High,3,855,7898,1,11,10,9,0,8,2,Excellent,No
Bachelor,Very High,1,1291,2534,8,5,1,0,0,0,4,Excellent,No
College,Medium,4,1405,13142,3,29,5,2,0,3,1,Excellent,No
Bachelor,High,1,1124,1611,1,0,0,0,0,0,5,Excellent,No
Bachelor,Medium,2,817,5363,0,10,9,7,0,0,0,Excellent,No
Below College,Low,2,793,5071,3,8,6,2,0,0,3,Outstanding,No
Master,Very High,4,267,13695,6,24,19,7,3,8,2,Excellent,Yes
Bachelor,High,4,1369,13402,4,33,19,16,15,9,0,Excellent,No
Below College,Medium,1,999,2029,1,5,5,4,0,0,2,Outstanding,No
Below College,Very High,2,1202,6377,5,15,12,11,11,8,0,Outstanding,No
Bachelor,High,2,285,5429,4,10,8,7,7,7,1,Excellent,No
Bachelor,Medium,1,703,2785,7,3,1,0,0,0,3,Excellent,Yes
Master,High,2,662,4614,0,5,4,2,3,2,0,Excellent,Yes
Bachelor,Very High,1,693,2610,1,4,4,2,0,3,2,Excellent,No
Master,High,2,404,6687,1,14,14,11,4,11,2,Excellent,No
Bachelor,Medium,2,736,4724,1,5,5,3,0,4,0,Excellent,No
Master,High,2,330,6179,1,10,10,2,6,7,3,Excellent,Yes
Master,Medium,2,1498,6120,3,8,5,4,1,4,2,Excellent,No
Bachelor,High,3,541,10596,2,14,4,2,3,2,5,Excellent,No
Bachelor,High,2,1200,5467,3,12,6,2,3,3,4,Excellent,No
Below College,High,1,1439,2996,7,8,6,4,1,3,2,Excellent,No
Below College,High,2,1111,9998,6,8,5,4,1,2,2,Excellent,No
Below College,High,2,499,4078,0,4,3,2,1,2,3,Excellent,No
College,High,3,1485,10920,3,13,6,4,0,5,2,Outstanding,No
Below College,Very High,2,1372,6232,2,6,3,2,1,2,3,Excellent,No
College,Very High,4,322,13247,2,24,5,3,0,2,3,Excellent,No
Bachelor,Medium,2,930,4081,1,20,20,7,1,8,3,Excellent,No
Bachelor,Medium,2,205,5769,1,6,6,2,4,4,3,Excellent,No
Master,High,1,135,2394,1,8,8,2,7,7,2,Excellent,Yes
Below College,Medium,1,683,3904,0,5,4,3,1,1,2,Excellent,No
Bachelor,High,4,1147,16799,0,21,20,7,0,9,5,Excellent,No
Master,High,1,258,2950,9,12,5,4,0,4,2,Excellent,No
Bachelor,High,1,1462,3629,4,8,3,2,0,2,6,Excellent,No
College,High,3,200,9362,2,10,2,2,2,2,2,Excellent,No
Bachelor,High,1,949,3229,4,7,3,2,0,2,2,Excellent,No
Bachelor,Very High,1,652,3578,0,8,7,7,0,7,2,Excellent,No
Bachelor,Medium,3,332,7988,1,10,10,9,0,9,3,Excellent,No
College,Medium,2,1475,4284,3,20,4,3,1,3,2,Outstanding,Yes
Below College,High,3,337,7553,0,9,8,7,7,7,1,Excellent,Yes
Bachelor,High,4,971,17328,6,29,20,7,12,7,3,Excellent,No
Bachelor,High,5,1055,19701,3,32,9,8,1,5,3,Outstanding,No
Master,Very High,4,1136,14732,2,31,7,7,0,0,4,Excellent,No
Master,High,2,1174,9278,3,15,5,4,0,1,3,Excellent,No
Master,Low,1,667,1359,1,1,1,0,0,0,3,Excellent,Yes
Master,High,2,855,4779,7,8,3,2,0,2,3,Excellent,No
Doctor,High,4,182,16422,3,9,3,2,1,0,3,Excellent,No
Master,High,1,560,2996,5,10,4,3,1,3,2,Excellent,No
Bachelor,Medium,1,202,1261,1,1,1,0,0,0,3,Excellent,Yes
Below College,High,1,1377,2099,0,6,5,0,1,4,3,Excellent,No
Master,Medium,2,172,5810,1,10,10,4,1,8,2,Excellent,No
Master,Medium,2,329,5647,4,11,3,2,0,2,3,Excellent,No
Bachelor,High,1,465,3420,7,17,6,5,1,2,2,Excellent,No
College,Medium,1,383,4400,3,6,3,2,2,2,2,Excellent,Yes
College,Very High,1,1413,3500,0,7,6,5,1,3,2,Excellent,No
College,High,1,1255,2066,2,5,3,2,1,0,3,Outstanding,No
Master,High,4,359,17169,3,26,20,17,5,6,2,Excellent,No
Below College,High,2,1476,4162,1,5,5,4,0,3,3,Excellent,No
Doctor,High,2,601,9204,4,7,4,3,0,3,3,Excellent,No
Bachelor,Medium,1,401,3294,5,7,5,4,0,2,2,Excellent,No
Doctor,Very High,1,1283,2127,2,7,4,2,0,3,5,Excellent,No
Master,High,2,663,3975,3,11,8,7,0,7,2,Excellent,No
College,High,3,326,10793,1,13,13,7,9,9,5,Excellent,No
Bachelor,High,3,377,10096,4,28,7,7,4,3,1,Excellent,Yes
Bachelor,Medium,1,592,3646,2,11,1,0,0,0,2,Outstanding,Yes
Doctor,Very High,3,1445,7446,1,10,10,8,4,7,2,Excellent,Yes
Bachelor,Low,3,1038,10851,2,24,7,7,0,7,2,Excellent,No
College,Very High,1,1398,2109,9,8,3,2,0,2,3,Excellent,No
Bachelor,High,1,523,3722,6,7,2,2,2,2,2,Excellent,Yes
Bachelor,High,3,1448,9380,4,10,3,1,1,2,4,Excellent,No
Bachelor,High,2,1221,5486,4,15,2,2,2,2,3,Excellent,No
Master,High,1,1107,2742,1,2,2,2,2,2,0,Excellent,Yes
Below College,Medium,3,218,13757,2,16,9,8,4,8,5,Excellent,No
Bachelor,High,2,866,8463,0,6,5,4,1,3,4,Excellent,No
Bachelor,Medium,1,981,3162,3,7,5,2,0,3,5,Excellent,No
Bachelor,Very High,4,447,16598,4,35,9,8,8,8,2,Excellent,No
Master,High,2,1495,6651,2,20,3,2,1,2,0,Excellent,No
Bachelor,High,1,896,2345,2,8,3,1,1,2,3,Excellent,No
Bachelor,High,1,1467,3420,1,6,5,2,1,3,3,Excellent,No
Bachelor,High,2,430,4373,0,5,4,3,0,3,2,Excellent,No
Bachelor,Low,2,1326,4759,3,15,13,9,3,12,2,Excellent,No
Below College,High,2,1358,5301,8,4,2,1,2,2,2,Excellent,No
College,High,1,748,3673,1,12,12,9,5,8,3,Excellent,No
Doctor,High,2,383,4768,7,11,1,0,0,0,4,Excellent,No
Bachelor,High,1,990,1274,1,1,1,0,0,0,2,Excellent,No
College,Very High,2,405,4900,0,13,12,9,2,8,2,Outstanding,No
Master,High,3,1490,10466,3,29,8,7,0,7,3,Excellent,No
Bachelor,High,4,829,17007,7,16,14,8,6,9,3,Excellent,No
Bachelor,High,1,1496,2909,3,5,3,2,1,2,3,Excellent,Yes
Bachelor,High,2,115,5765,5,7,5,3,0,0,4,Excellent,Yes
Master,Medium,2,790,4599,0,16,15,9,10,10,2,Outstanding,Yes
Below College,High,1,660,2404,1,1,1,0,0,0,3,Excellent,No
Bachelor,High,1,381,3172,2,4,0,0,0,0,2,Excellent,Yes
College,High,1,830,2033,1,1,1,0,0,0,2,Excellent,No
Below College,High,3,1193,10209,5,16,2,2,2,2,2,Excellent,No
Bachelor,Medium,2,1246,8620,1,10,10,7,0,4,3,Excellent,No
Bachelor,High,1,330,2064,0,6,5,3,1,3,3,Outstanding,No
Master,High,2,1229,4035,0,4,3,2,1,2,2,Excellent,No
Master,Medium,1,1099,3838,8,8,5,4,0,2,5,Excellent,No
Bachelor,High,2,571,4591,3,11,5,4,1,2,4,Excellent,No
College,Medium,1,289,2561,7,8,0,0,0,0,2,Excellent,Yes
Bachelor,Medium,1,1423,1563,1,1,1,0,0,0,2,Excellent,No
Bachelor,High,2,467,4898,0,5,4,2,1,3,5,Excellent,No
College,Medium,2,271,4789,4,10,3,2,1,2,3,Outstanding,No
Below College,High,1,410,3180,0,4,3,2,0,2,3,Excellent,No
Below College,Low,2,1083,6549,1,8,8,6,1,7,2,Excellent,No
Doctor,High,2,516,6388,2,14,0,0,0,0,6,Excellent,No
Bachelor,High,3,495,11244,2,10,5,2,0,0,5,Outstanding,No
Master,High,4,1050,16032,3,26,14,9,1,12,2,Outstanding,No
Master,Medium,1,224,2362,6,11,9,7,0,7,2,Excellent,Yes
Bachelor,High,4,136,16328,3,24,20,6,14,17,1,Excellent,No
Bachelor,High,3,1089,8376,4,9,2,0,2,2,3,Excellent,No
Bachelor,High,4,228,16606,8,23,13,12,5,1,2,Excellent,No
Bachelor,Medium,3,1029,8606,1,11,11,8,3,3,3,Excellent,No
Below College,High,2,507,2272,0,5,4,3,1,2,2,Excellent,No
Master,High,1,676,2018,3,15,5,4,1,0,3,Excellent,Yes
Bachelor,Medium,3,971,7083,1,10,10,9,8,6,3,Excellent,No
Bachelor,High,1,561,4084,1,7,7,2,7,7,2,Excellent,Yes
Doctor,Low,4,333,14411,1,32,32,6,13,9,2,Excellent,No
College,High,1,1440,2308,0,12,11,10,5,7,4,Outstanding,No
Bachelor,Medium,1,1210,4841,4,4,1,0,0,0,3,Excellent,No
Bachelor,High,2,674,4285,1,10,10,8,3,7,2,Excellent,No
Below College,Low,2,441,9715,3,9,7,7,0,7,3,Excellent,No
Bachelor,Medium,2,575,4320,1,5,5,3,0,2,2,Excellent,No
Bachelor,High,1,950,2132,4,8,5,4,0,3,3,Outstanding,No
Bachelor,High,3,288,10124,2,24,20,8,13,9,3,Excellent,No
College,High,2,1342,5473,0,9,8,4,7,1,5,Excellent,No
Master,High,2,589,5207,1,15,15,14,5,7,3,Excellent,No
College,High,4,898,16437,1,21,21,7,7,7,2,Outstanding,No
College,Medium,1,350,2296,0,2,1,1,0,0,3,Excellent,No
College,High,2,1142,4069,3,8,2,2,2,2,2,Excellent,No
